>Species A	Chromosome A	Start A	End A	Species B	Chromosome B	Start B	End B	Size	P value
9606	NC_000001.9	1836125	2106693	9606	NC_000001.9	241718157	243317760	2	1.298E-1
9606	NC_000001.9	15637524	16355150	9606	NC_000001.9	22176004	23114404	2	9.938E-2
9606	NC_000001.9	21639217	22522410	9606	NC_000001.9	146048915	147823133	2	2.761E-1
9606	NC_000001.9	22107127	23567465	9606	NC_000001.9	40571236	40786424	2	2.682E-1
9606	NC_000001.9	22176004	23567465	9606	NC_000001.9	225817866	227507140	4	2.138E-3
9606	NC_000001.9	22251706	22342196	9606	NC_000001.9	112811562	113051242	2	1.000E0
9606	NC_000001.9	25816545	27211913	9606	NC_000001.9	117711607	117972508	2	9.014E-4
9606	NC_000001.9	109963981	113051242	9606	NC_000001.9	115017244	115433637	3	4.979E-4
9606	NC_000001.9	111963927	113051242	9606	NC_000001.9	226175319	227507140	2	1.000E0
9606	NC_000001.9	115986096	116748918	9606	NC_000001.9	158352171	158665087	3	4.572E-7
9606	NC_000001.9	142555942	143075948	9606	NC_000001.9	146421383	147849564	2	4.417E-2
9606	NC_000001.9	147666755	148126089	9606	NC_000001.9	226679168	226712881	3	3.500E-5
9606	NC_000001.9	225817866	226670976	9606	NC_000001.9	245266709	246107498	2	1.000E0
9606	NC_000001.9	17954430	18935218	9606	NC_000002.10	113690044	114432636	2	6.135E-2
9606	NC_000001.9	21418938	21777488	9606	NC_000002.10	232951591	233060774	2	1.268E-2
9606	NC_000001.9	22251706	22860615	9606	NC_000002.10	119630288	120768755	2	1.000E0
9606	NC_000001.9	23627642	23758871	9606	NC_000002.10	8739563	9463256	2	9.014E-4
9606	NC_000001.9	26237100	26266707	9606	NC_000002.10	27330943	27383810	2	9.014E-4
9606	NC_000001.9	33124684	33419853	9606	NC_000002.10	95326798	95629197	2	7.067E-1
9606	NC_000001.9	33124684	33358581	9606	NC_000002.10	10360490	10505903	2	5.769E-2
9606	NC_000001.9	33124684	33218830	9606	NC_000002.10	47240808	47782469	2	5.769E-2
9606	NC_000001.9	38235028	38285036	9606	NC_000002.10	104838400	105421391	2	9.014E-4
9606	NC_000001.9	39917231	40786424	9606	NC_000002.10	95177126	95415551	2	1.000E0
9606	NC_000001.9	52157419	53380836	9606	NC_000002.10	65070097	65210792	2	5.522E-1
9606	NC_000001.9	225817866	226670976	9606	NC_000002.10	95177126	95629197	2	1.000E0
9606	NC_000001.9	226336983	227507140	9606	NC_000002.10	151032954	152393254	2	1.000E0
9606	NC_000001.9	226679168	227507140	9606	NC_000002.10	26110477	26870957	2	1.000E0
9606	NC_000001.9	226937491	227636465	9606	NC_000002.10	65167492	65351890	2	1.000E0
9606	NC_000001.9	245266709	247110336	9606	NC_000002.10	95177126	95629197	2	1.000E0
9606	NC_000001.9	1706588	2929326	9606	NC_000003.10	180599695	180788888	2	2.727E-2
9606	NC_000001.9	2927905	3345044	9606	NC_000003.10	170285243	170970376	2	2.727E-2
9606	NC_000001.9	3531415	3639715	9606	NC_000003.10	190372456	191097758	2	9.014E-4
9606	NC_000001.9	9275570	9998664	9606	NC_000003.10	139856920	142350142	5	1.177E-11
9606	NC_000001.9	20682518	23114404	9606	NC_000003.10	185450210	185782889	4	3.157E-8
9606	NC_000001.9	22251706	23114404	9606	NC_000003.10	135025772	136461998	2	1.000E0
9606	NC_000001.9	22251706	22522410	9606	NC_000003.10	139574396	139846213	2	1.000E0
