#Synteny information download from ensemble. 
#Oraganism A	Chromosome A	Start A	End A	Oraganism B	Chromosome B	Start B	End B	Syteny ID
Homo sapiens	1	884178	58785354	Mus musculus	4	102986087	155610416	32885
Homo sapiens	1	58892939	67382631	Mus musculus	4	94608691	102973322	32886
Homo sapiens	1	67404498	68089686	Mus musculus	6	66829576	67442073	32887
Homo sapiens	1	68362127	89510723	Mus musculus	3	142159959	159599772	32888
Homo sapiens	1	89722756	93607927	Mus musculus	5	105824519	108714403	32889
Homo sapiens	1	93677745	120498438	Mus musculus	3	97727795	122338627	32890
Homo sapiens	1	120555957	120691291	Mus musculus	1	133340341	133469656	32891
Homo sapiens	1	120850924	121052200	Mus musculus	13	117897319	118083771	32892
Homo sapiens	1	142616838	142807112	Mus musculus	1	133259296	133431384	32893
Homo sapiens	1	143388044	156421365	Mus musculus	3	86799634	97883056	32894
Homo sapiens	1	156783527	205601587	Mus musculus	1	132334681	176379748	32895
Homo sapiens	1	205642562	225663015	Mus musculus	1	181808904	197047284	32896
Homo sapiens	1	225986376	226769835	Mus musculus	11	58728366	59269457	32897
Homo sapiens	1	227470917	233391397	Mus musculus	8	126322711	129495221	32898
Homo sapiens	1	233396683	238151282	Mus musculus	13	9868164	14291783	32899
Homo sapiens	1	238319788	245192366	Mus musculus	1	176428429	181759381	32900
Homo sapiens	10	128698	5905628	Mus musculus	13	3521006	9802042	32901
Homo sapiens	10	5955458	15496083	Mus musculus	2	3009359	11716617	32902
Homo sapiens	10	15509955	27197078	Mus musculus	2	11924009	22912246	32903
Homo sapiens	10	27438978	27571246	Mus musculus	2	22923556	23053933	32904
Homo sapiens	10	27787792	28762512	Mus musculus	18	6728481	7752016	32905
Homo sapiens	10	28990717	30965849	Mus musculus	18	3491582	5123080	32906
Homo sapiens	10	30967588	32718707	Mus musculus	18	5022311	6530738	32907
Homo sapiens	10	33152475	35192275	Mus musculus	8	129559285	131365430	32908
Homo sapiens	10	35324105	35561824	Mus musculus	18	3241148	3439197	32909
Homo sapiens	10	35716714	37134552	Mus musculus	18	7985898	9430644	32910
Homo sapiens	10	37231661	37442207	Mus musculus	7	102033245	102246674	32911
Homo sapiens	10	42597992	45538173	Mus musculus	6	116170329	118369681	32912
Homo sapiens	10	45908683	51397398	Mus musculus	14	32954557	35114468	32913
Homo sapiens	10	51587609	54210088	Mus musculus	19	30291964	32478566	32914
Homo sapiens	10	55036629	74527394	Mus musculus	10	58785342	74310018	32915
Homo sapiens	10	74540170	81959796	Mus musculus	14	21113857	26911401	32916
Homo sapiens	10	82009348	88966296	Mus musculus	14	35039814	41942239	32917
Homo sapiens	10	89224093	121209497	Mus musculus	19	32539286	61172120	32918
Homo sapiens	10	121214582	135146014	Mus musculus	7	135495649	147510914	32919
Homo sapiens	11	182898	3211245	Mus musculus	7	148031290	150971256	32920
Homo sapiens	11	3587645	17316603	Mus musculus	7	109227192	123689970	32921
Homo sapiens	11	17360061	25207721	Mus musculus	7	53350543	62638143	32922
Homo sapiens	11	26252973	48615288	Mus musculus	2	89453136	110832617	32923
Homo sapiens	11	49206910	49783822	Mus musculus	7	94258785	94963306	32924
