# Download from ensembl database through its query tool BioMart.
# 'Symbol' is Ensembl Gene ID.
# 'ID' is the numeric form of 'Symbol'.
# 'Family' is not given in original file, and we define it on our own. 
# 'Orient' is not given.
# ID	Family	Sysmbol	Species	Chromosome	Orient	Start	End
3	15196	ENSG00000000003	Homo sapiens	X	-	99770375	99778469
5	6363	ENSG00000000005	Homo sapiens	X	-	99726486	99741533
419	2081	ENSG00000000419	Homo sapiens	20	-	48984811	49008499
457	3185	ENSG00000000457	Homo sapiens	1	-	168088839	168129661
460	10219	ENSG00000000460	Homo sapiens	1	-	168030851	168088853
938	16113	ENSG00000000938	Homo sapiens	1	-	27811390	27834314
971	15893	ENSG00000000971	Homo sapiens	1	-	194887764	194983255
1036	5998	ENSG00000001036	Homo sapiens	6	-	143857642	143874530
1084	5776	ENSG00000001084	Homo sapiens	6	-	53470098	53517790
1167	2173	ENSG00000001167	Homo sapiens	6	-	41148688	41174713
1460	9918	ENSG00000001460	Homo sapiens	1	-	24556076	24614174
1461	10814	ENSG00000001461	Homo sapiens	1	-	24614871	24672053
1497	347	ENSG00000001497	Homo sapiens	X	-	64649191	64671392
1561	3599	ENSG00000001561	Homo sapiens	6	-	46205689	46222237
1617	14938	ENSG00000001617	Homo sapiens	3	-	50167528	50201509
1626	3715	ENSG00000001626	Homo sapiens	7	-	116907253	117095955
1629	8030	ENSG00000001629	Homo sapiens	7	-	91713484	91866583
1630	2965	ENSG00000001630	Homo sapiens	7	-	91579409	91601946
1631	5493	ENSG00000001631	Homo sapiens	7	-	91666219	91713350
2016	10284	ENSG00000002016	Homo sapiens	12	-	891516	929124
2330	12811	ENSG00000002330	Homo sapiens	11	-	63793878	63808740
2549	9550	ENSG00000002549	Homo sapiens	4	-	17188025	17218688
2587	10914	ENSG00000002587	Homo sapiens	4	-	11009474	11040487
2726	4119	ENSG00000002726	Homo sapiens	7	-	150180506	150189312
2745	14787	ENSG00000002745	Homo sapiens	7	-	120752657	120768393
2746	14997	ENSG00000002746	Homo sapiens	7	-	43118723	43569463
2822	1590	ENSG00000002822	Homo sapiens	7	-	1821956	2239109
2834	3231	ENSG00000002834	Homo sapiens	17	-	34279894	34331541
2919	13644	ENSG00000002919	Homo sapiens	17	-	43539919	43555104
2933	2416	ENSG00000002933	Homo sapiens	7	-	150128771	150133138
3056	11311	ENSG00000003056	Homo sapiens	12	-	8984243	8993519
3096	14971	ENSG00000003096	Homo sapiens	X	-	116915804	117134789
3137	3376	ENSG00000003137	Homo sapiens	2	-	72209875	72228471
3147	2401	ENSG00000003147	Homo sapiens	7	-	8119342	8268710
3249	6550	ENSG00000003249	Homo sapiens	16	-	88598782	88613438
3393	3506	ENSG00000003393	Homo sapiens	2	-	202273522	202353983
3402	12534	ENSG00000003402	Homo sapiens	2	-	201689135	201737246
3436	5200	ENSG00000003436	Homo sapiens	2	-	188037202	188127464
3509	12938	ENSG00000003509	Homo sapiens	2	-	37312294	37329805
3756	10764	ENSG00000003756	Homo sapiens	3	-	50101372	50131392
3987	12466	ENSG00000003987	Homo sapiens	8	-	17199923	17315207
3989	13632	ENSG00000003989	Homo sapiens	8	-	17398975	17472357
4059	15246	ENSG00000004059	Homo sapiens	7	-	127015659	127018995
4139	7634	ENSG00000004139	Homo sapiens	17	-	23723181	23752173
4142	10171	ENSG00000004142	Homo sapiens	17	-	23697786	23708600
4399	14885	ENSG00000004399	Homo sapiens	3	-	130756708	130808351
4455	1686	ENSG00000004455	Homo sapiens	1	-	33246173	33275079
4468	7072	ENSG00000004468	Homo sapiens	4	-	15389029	15459806
4478	6869	ENSG00000004478	Homo sapiens	12	-	2774414	2783381
4487	5501	ENSG00000004487	Homo sapiens	1	-	23218533	23282771
4534	10783	ENSG00000004534	Homo sapiens	3	-	49952525	50089685
4660	15935	ENSG00000004660	Homo sapiens	17	-	3710358	3743087
4700	2826	ENSG00000004700	Homo sapiens	12	-	21513983	21548782
4766	8860	ENSG00000004766	Homo sapiens	7	-	92699589	92826273
4776	2151	ENSG00000004776	Homo sapiens	19	-	40937336	40939799
4777	5877	ENSG00000004777	Homo sapiens	19	-	40958316	40971564
4779	12631	ENSG00000004779	Homo sapiens	16	-	23499838	23515140
4799	1409	ENSG00000004799	Homo sapiens	7	-	95050753	95063861
4809	14479	ENSG00000004809	Homo sapiens	6	-	110852627	110904537
4838	1472	ENSG00000004838	Homo sapiens	3	-	50353550	50359287
4848	3081	ENSG00000004848	Homo sapiens	X	-	24932213	24943775
4864	8242	ENSG00000004864	Homo sapiens	7	-	95587469	95789341
4866	2391	ENSG00000004866	Homo sapiens	7	-	116380617	116657393
4897	13382	ENSG00000004897	Homo sapiens	17	-	42552625	42621664
4939	14765	ENSG00000004939	Homo sapiens	17	-	39682566	39700993
4948	16292	ENSG00000004948	Homo sapiens	7	-	92891735	93041686
4961	6926	ENSG00000004961	Homo sapiens	X	-	11039342	11051122
4975	2162	ENSG00000004975	Homo sapiens	17	-	7069385	7078587
5001	13917	ENSG00000005001	Homo sapiens	16	-	2842729	2848172
5007	5453	ENSG00000005007	Homo sapiens	19	-	18803744	18840038
5020	11828	ENSG00000005020	Homo sapiens	7	-	26673215	26870866
5022	7860	ENSG00000005022	Homo sapiens	X	-	118486435	118489386
5059	2315	ENSG00000005059	Homo sapiens	4	-	110700814	110829331
5073	3531	ENSG00000005073	Homo sapiens	7	-	27187301	27191360
5075	87	ENSG00000005075	Homo sapiens	7	-	101900555	101906715
5100	13896	ENSG00000005100	Homo sapiens	17	-	5286320	5312905
5102	3203	ENSG00000005102	Homo sapiens	17	-	39073296	39094788
5108	14318	ENSG00000005108	Homo sapiens	7	-	11380787	11838097
5156	9892	ENSG00000005156	Homo sapiens	17	-	30331651	30356201
5175	9178	ENSG00000005175	Homo sapiens	12	-	46343344	46386041
5187	4184	ENSG00000005187	Homo sapiens	16	-	20682813	20715979
5189	12586	ENSG00000005189	Homo sapiens	16	-	20725322	20768485
5194	10566	ENSG00000005194	Homo sapiens	16	-	56019582	56038940
5206	2924	ENSG00000005206	Homo sapiens	19	-	2279629	2306099
