#geneid	family	symbol	taxid	contig	orient	start	end
24	49877	ABCA4	9606	NC_000001.9	+	94230980	94359266
27	50371	ABL2	9606	NC_000001.9	+	177343379	177465358
34	49021	ACADM	9606	NC_000001.9	+	75962869	76001770
58	49024	ACTA1	9606	NC_000001.9	+	227633614	227636465
88	49025	ACTN2	9606	NC_000001.9	+	234916421	234993862
103	53151	ADAR	9606	NC_000001.9	+	152821156	152867060
134	49032	ADORA1	9606	NC_000001.9	+	201326404	201403154
137	0	ADORA2BP	9606	NC_000001.9	+	207984186	207985964
140	0	ADORA3	9606	NC_000001.9	+	111827492	111848265
142	0	PARP1	9606	NC_000001.9	+	224615128	224662413
159	51786	ADSS	9606	NC_000001.9	+	242638418	242682035
178	49810	AGL	9606	NC_000001.9	+	100088227	100162163
183	0	AGT	9606	NC_000001.9	+	228904891	228916563
204	49040	AK2	9606	NC_000001.9	+	33246172	33275078
205	49040	AK3L1	9606	NC_000001.9	+	65385819	65465764
223	49043	ALDH9A1	9606	NC_000001.9	+	163898076	163934723
249	49047	ALPL	9606	NC_000001.9	+	21708455	21777488
257	0	ALX3	9606	NC_000001.9	+	110404138	110414756
270	49048	AMPD1	9606	NC_000001.9	+	115017244	115039698
271	49048	AMPD2	9606	NC_000001.9	+	109963981	109976199
276	49050	AMY1A	9606	NC_000001.9	+	103999663	104008695
277	49050	AMY1B	9606	NC_000001.9	+	104031563	104040411
278	49050	AMY1C	9606	NC_000001.9	+	104093963	104102832
279	49050	AMY2A	9606	NC_000001.9	+	103961521	103969922
280	49050	AMY2B	9606	NC_000001.9	+	103898844	103923673
281	0	AMYP1	9606	NC_000001.9	+	104057864	104064033
325	49059	APCS	9606	NC_000001.9	+	157824239	157825284
336	0	APOA2	9606	NC_000001.9	+	159458706	159460041
356	0	FASLG	9606	NC_000001.9	+	170894807	170902635
375	49070	ARF1	9606	NC_000001.9	+	226336983	226353535
389	49454	RHOC	9606	NC_000001.9	+	113045275	113051242
405	49072	ARNT	9606	NC_000001.9	+	149048809	149115809
460	52745	ASTN1	9606	NC_000001.9	+	175096825	175400646
462	49076	SERPINC1	9606	NC_000001.9	+	172139564	172153095
467	49077	ATF3	9606	NC_000001.9	+	210805373	210860739
473	0	RERE	9606	NC_000001.9	+	8335043	8800110
476	49078	ATP1A1	9606	NC_000001.9	+	116717358	116748918
477	49078	ATP1A2	9606	NC_000001.9	+	158352171	158380004
480	49078	ATP1A4	9606	NC_000001.9	+	158387986	158423390
481	49079	ATP1B1	9606	NC_000001.9	+	167342570	167368583
493	52779	ATP2B4	9606	NC_000001.9	+	201862550	201979831
515	0	ATP5F1	9606	NC_000001.9	+	111793265	111806062
520	0	ATP5GP1	9606	NC_000001.9	+	207507619	207508246
533	49083	ATP6V0B	9606	NC_000001.9	+	44213188	44216558
553	49088	AVPR1B	9606	NC_000001.9	+	204390566	204398261
576	49094	BAI2	9606	NC_000001.9	+	31965305	32002222
607	0	BCL9	9606	NC_000001.9	+	145479805	145564640
632	0	BGLAP	9606	NC_000001.9	+	154478628	154479735
656	49103	BMP8B	9606	NC_000001.9	+	39996489	40027119
676	52737	BRDT	9606	NC_000001.9	+	92187719	92252572
712	0	C1QA	9606	NC_000001.9	+	22835704	22838761
713	49887	C1QB	9606	NC_000001.9	+	22852268	22860615
714	49887	C1QC	9606	NC_000001.9	+	22842733	22847189
722	0	C4BPA	9606	NC_000001.9	+	205344229	205384939
724	0	C4BPAL2	9606	NC_000001.9	+	205468268	205468467
725	49115	C4BPB	9606	NC_000001.9	+	205328834	205339960
731	0	C8A	9606	NC_000001.9	+	57093064	57156481
732	0	C8B	9606	NC_000001.9	+	57167470	57204275
765	49117	CA6	9606	NC_000001.9	+	8928508	8957737
777	0	CACNA1E	9606	NC_000001.9	+	179719338	180037338
779	49119	CACNA1S	9606	NC_000001.9	+	199275264	199348316
824	49127	CAPN2	9606	NC_000001.9	+	221966823	222030342
829	50221	CAPZA1	9606	NC_000001.9	+	112963597	113015763
832	0	CAPZB	9606	NC_000001.9	+	19537859	19684578
842	0	CASP9	9606	NC_000001.9	+	15691377	15723376
844	49820	CASQ1	9606	NC_000001.9	+	158426988	158438299
845	49820	CASQ2	9606	NC_000001.9	+	116044165	116112792
864	49904	RUNX3	9606	NC_000001.9	+	25098644	25164061
909	49139	CD1A	9606	NC_000001.9	+	156490550	156494658
910	49139	CD1B	9606	NC_000001.9	+	156564402	156567881
911	49139	CD1C	9606	NC_000001.9	+	156526427	156530030
912	49139	CD1D	9606	NC_000001.9	+	156416360	156421309
913	49139	CD1E	9606	NC_000001.9	+	156590402	156593008
914	0	CD2	9606	NC_000001.9	+	117098624	117113373
919	49823	CD247	9606	NC_000001.9	+	165666504	165754449
922	0	CD5L	9606	NC_000001.9	+	156067329	156078174
943	0	TNFRSF8	9606	NC_000001.9	+	12046020	12126850
947	49141	CD34	9606	NC_000001.9	+	206126505	206151305
962	0	CD48	9606	NC_000001.9	+	158915159	158948208
963	49144	CD53	9606	NC_000001.9	+	111215343	111244080
965	0	CD58	9606	NC_000001.9	+	116858679	116915125
978	0	CDA	9606	NC_000001.9	+	20788030	20817987
984	51285	CDC2L1	9606	NC_000001.9	+	1624179	1645636
985	51285	CDC2L2	9606	NC_000001.9	+	1624179	1645622
991	49824	CDC20	9606	NC_000001.9	+	43597215	43601457
998	49454	CDC42	9606	NC_000001.9	+	22251706	22292022
1031	49153	CDKN2C	9606	NC_000001.9	+	51206954	51212896
1043	0	CD52	9606	NC_000001.9	+	26516997	26519600
1063	0	CENPF	9606	NC_000001.9	+	212843154	212904536
1104	0	RCC1	9606	NC_000001.9	+	28705154	28738088
1116	49155	CHI3L1	9606	NC_000001.9	+	201414552	201422499
1117	49155	CHI3L2	9606	NC_000001.9	+	111571803	111587584
1118	49155	CHIT1	9606	NC_000001.9	+	201452417	201465398
1122	50785	CHML	9606	NC_000001.9	+	239858788	239865854
1130	0	LYST	9606	NC_000001.9	+	233890965	234113562
1131	49157	CHRM3	9606	NC_000001.9	+	237858995	238139342
1141	49159	CHRNB2	9606	NC_000001.9	+	152806880	152815706
1163	49162	CKS1B	9606	NC_000001.9	+	153213837	153218345
1179	49164	CLCA1	9606	NC_000001.9	+	86706638	86738531
1185	49167	CLCN6	9606	NC_000001.9	+	11788880	11825771
1187	49831	CLCNKA	9606	NC_000001.9	+	16221696	16233131
1188	49831	CLCNKB	9606	NC_000001.9	+	16242938	16256062
1196	50812	CLK2	9606	NC_000001.9	+	153499282	153509904
1263	52608	PLK3	9606	NC_000001.9	+	45038622	45044253
1266	49172	CNN3	9606	NC_000001.9	+	95135094	95165288
1269	0	CNR2	9606	NC_000001.9	+	24073046	24112403
1296	0	COL8A2	9606	NC_000001.9	+	36333432	36338436
1298	0	COL9A2	9606	NC_000001.9	+	40538749	40555525
1301	0	COL11A1	9606	NC_000001.9	+	103115582	103346639
1307	0	COL16A1	9606	NC_000001.9	+	31890434	31942235
1314	0	COPA	9606	NC_000001.9	+	158525686	158580078
1325	0	CORT	9606	NC_000001.9	+	10432557	10434545
