# An example of input file for detection of paralogons by CHSMiner
# from public paralog database EPGD (http://epgd.biosino.org/EPGD)	
# GeneID	FamilyID	Symbol	Organism	Chromosome	Orient	Start	End
728439	0	LOC728439	Homo sapiens	1	+	15002	19497
79501	49463	OR4F5	Homo sapiens	1	+	58953	59870
729737	53294	LOC729737	Homo sapiens	1	-	114642	134340
643670	53956	LOC643670	Homo sapiens	1	-	127498	128747
729759	49463	OR4F29	Homo sapiens	1	+	356722	358459
440551	0	LOC440551	Homo sapiens	1	-	534555	536539
135896	49463	OR4F29	Homo sapiens	1	-	610958	611896
728534	0	LOC728534	Homo sapiens	1	-	636750	735369
728550	0	LOC728550	Homo sapiens	1	-	829608	843820
148398	0	SAMD11	Homo sapiens	1	+	850983	869823
26155	0	NOC2L	Homo sapiens	1	-	869458	884493
728559	0	LOC728559	Homo sapiens	1	+	884523	885833
339451	49455	KLHL17	Homo sapiens	1	+	885829	890957
84069	0	PLEKHN1	Homo sapiens	1	+	891739	900350
84808	0	C1orf170	Homo sapiens	1	-	900441	907359
57801	0	HES4	Homo sapiens	1	-	924206	925332
728578	0	LOC728578	Homo sapiens	1	-	925347	928664
9636	0	ISG15	Homo sapiens	1	+	938741	939781
375790	0	AGRN	Homo sapiens	1	+	945365	981354
54991	0	C1orf159	Homo sapiens	1	-	1007067	1041331
254173	0	TTLL10	Homo sapiens	1	+	1104939	1111103
8784	0	TNFRSF18	Homo sapiens	1	-	1128750	1131951
7293	0	TNFRSF4	Homo sapiens	1	-	1136568	1139374
51150	0	SDF4	Homo sapiens	1	-	1142150	1157273
126792	0	B3GALT6	Homo sapiens	1	+	1157507	1160280
388581	0	FAM132A	Homo sapiens	1	-	1167695	1171964
118424	0	UBE2J2	Homo sapiens	1	-	1179154	1199096
6339	0	SCNN1D	Homo sapiens	1	+	1207438	1217271
116983	50545	CENTB5	Homo sapiens	1	-	1218806	1228502
126789	0	PUSL1	Homo sapiens	1	+	1233856	1236919
54973	0	CPSF3L	Homo sapiens	1	-	1236841	1249912
80772	0	GLTPD1	Homo sapiens	1	+	1250005	1254138
83756	0	TAS1R3	Homo sapiens	1	+	1256588	1259706
1855	0	DVL1	Homo sapiens	1	-	1260520	1274622
54587	0	MXRA8	Homo sapiens	1	-	1277933	1283777
54998	0	AURKAIP1	Homo sapiens	1	-	1298972	1300442
81669	53233	CCNL2	Homo sapiens	1	-	1310953	1324552
55052	51965	MRPL20	Homo sapiens	1	-	1327158	1332523
441869	0	LOC441869	Homo sapiens	1	-	1343662	1346247
643965	0	LOC643965	Homo sapiens	1	+	1351418	1353029
64856	0	VWA1	Homo sapiens	1	+	1360771	1366008
