#Species A	Chromosome A	Start A	End A	Species B	Chromosome B	Start B	End B	Size	P value
Homo sapiens	1	69806669	70677840	Mus musculus	3	157559419	158225185	5	5.032E-28
Homo sapiens	1	71090624	71319333	Mus musculus	3	157197124	157307716	2	5.468E-8
Homo sapiens	1	74264287	74782696	Mus musculus	3	154449266	154857242	2	5.468E-8
Homo sapiens	1	74943758	75003896	Mus musculus	3	154240163	154286144	2	5.468E-8
Homo sapiens	1	75366707	75849389	Mus musculus	3	153636400	153993524	2	5.468E-8
Homo sapiens	1	75962870	76170688	Mus musculus	3	153507206	153607392	4	1.472E-21
Homo sapiens	1	77105714	77457720	Mus musculus	3	152377068	152645174	2	5.468E-8
Homo sapiens	1	77520250	78375697	Mus musculus	3	151756807	152331104	8	1.454E-46
Homo sapiens	1	78858704	78902345	Mus musculus	3	151393889	151425855	2	5.468E-8
Homo sapiens	1	84717508	84812735	Mus musculus	3	146113457	146184372	4	1.472E-21
Homo sapiens	1	85163855	85703411	Mus musculus	3	145421705	145858472	7	1.660E-40
Homo sapiens	1	85891080	86395034	Mus musculus	3	144955436	145267075	2	5.468E-8
Homo sapiens	1	86581341	86819025	Mus musculus	3	144573885	144816851	4	1.472E-21
Homo sapiens	1	86872547	86986455	Mus musculus	3	144354032	144512250	2	5.468E-8
Homo sapiens	1	87100718	87407475	Mus musculus	3	144094079	144260638	2	5.468E-8
Homo sapiens	1	88922493	89231224	Mus musculus	3	142364015	142516848	3	6.728E-15
Homo sapiens	1	89345898	89437150	Mus musculus	3	142193306	142300970	2	5.468E-8
Homo sapiens	1	93686246	94085294	Mus musculus	3	122122716	122322471	2	5.468E-8
Homo sapiens	1	94107853	94147600	Mus musculus	3	121948535	121988181	2	5.468E-8
Homo sapiens	1	94230981	94475777	Mus musculus	3	121656244	121882977	2	5.468E-8
Homo sapiens	1	94656599	94779903	Mus musculus	3	121426527	121518114	2	5.468E-8
Homo sapiens	1	95058523	95165294	Mus musculus	3	121129452	121235256	2	5.468E-8
Homo sapiens	1	95220887	95485361	Mus musculus	3	120858783	121064936	3	6.728E-15
Homo sapiens	1	99884186	100003937	Mus musculus	3	116581145	116671870	2	5.468E-8
Homo sapiens	1	100088228	100529915	Mus musculus	3	116191884	116511084	8	1.454E-46
Homo sapiens	1	100590635	100780171	Mus musculus	3	115952574	116126950	2	5.468E-8
Homo sapiens	1	101110531	101263950	Mus musculus	3	115591091	115731913	3	6.728E-15
Homo sapiens	1	103841281	104102834	Mus musculus	3	113052095	113333067	2	5.468E-8
Homo sapiens	1	108904622	110009647	Mus musculus	3	107843329	108830191	26	1.670E-143
Homo sapiens	1	110078077	110108093	Mus musculus	3	107680147	107701602	2	5.468E-8
Homo sapiens	1	110254980	110578188	Mus musculus	3	107241222	107563387	7	1.660E-40
Homo sapiens	1	110678039	110735171	Mus musculus	3	107094210	107135998	2	5.468E-8
Homo sapiens	1	111217245	111308089	Mus musculus	3	106487905	106592970	2	5.468E-8
Homo sapiens	1	111461478	111548498	Mus musculus	3	106285349	106376845	3	6.728E-15
Homo sapiens	1	111635007	111697156	Mus musculus	3	105799875	106209100	2	5.468E-8
Homo sapiens	1	111758461	111908097	Mus musculus	3	105673825	105790341	5	5.032E-28
Homo sapiens	1	111886363	112333300	Mus musculus	3	105255248	105604254	4	1.472E-21
Homo sapiens	1	112740383	113059473	Mus musculus	3	104583974	104856064	6	4.955E-34
Homo sapiens	1	113734894	114326399	Mus musculus	3	103539324	104023950	9	1.611E-52
Homo sapiens	1	114911708	115124822	Mus musculus	3	102799668	102982750	6	2.478E-34
Homo sapiens	1	115198978	115433638	Mus musculus	3	102538693	102740007	3	6.728E-15
Homo sapiens	1	115986097	116112929	Mus musculus	3	101890465	102008531	2	5.468E-8
Homo sapiens	1	116320642	116479384	Mus musculus	3	101616999	101728302	2	5.468E-8
Homo sapiens	1	117404472	117555076	Mus musculus	3	100629382	100773586	3	6.728E-15
Homo sapiens	1	118213560	118529357	Mus musculus	3	99689355	100010575	3	6.728E-15
Homo sapiens	1	119227189	119484818	Mus musculus	3	98945013	99158183	2	5.468E-8
Homo sapiens	1	119712925	119859204	Mus musculus	3	98302998	98697142	2	5.468E-8
Homo sapiens	1	120056033	120155726	Mus musculus	3	98026077	98143847	3	1.346E-14
Homo sapiens	1	120237679	120413799	Mus musculus	3	97851650	97967096	2	5.468E-8
Homo sapiens	1	144124628	144635220	Mus musculus	3	96329108	96709269	16	2.892E-91
Homo sapiens	1	145093314	145234065	Mus musculus	3	97364665	97476988	3	6.728E-15
Homo sapiens	1	145479806	145609238	Mus musculus	3	96962782	97031287	2	5.468E-8
Homo sapiens	1	145841560	145950955	Mus musculus	3	96633999	96729895	3	4.037E-14
Homo sapiens	1	147635968	149115815	Mus musculus	3	95238326	96098179	29	2.069E-158
Homo sapiens	1	149165512	149777789	Mus musculus	3	94563991	95161122	25	1.802E-138
Homo sapiens	1	149779405	150148737	Mus musculus	3	94114054	94462728	11	3.650E-64
Homo sapiens	1	151117422	151150985	Mus musculus	3	92374834	92392916	2	5.468E-8
Homo sapiens	1	151442543	151549818	Mus musculus	3	91818534	91946666	4	1.472E-21
Homo sapiens	1	151569220	151630173	Mus musculus	3	90472993	90544428	3	6.728E-15
Homo sapiens	1	151773699	152161848	Mus musculus	3	90145576	90418336	15	1.375E-86
Homo sapiens	1	152168601	152867098	Mus musculus	3	89518982	90084572	18	8.466E-103
Homo sapiens	1	152946541	153975412	Mus musculus	3	88620487	89471326	33	1.413E-177
Homo sapiens	1	154095924	154621635	Mus musculus	3	88046796	88579086	21	1.386E-118
Homo sapiens	1	154700146	155281786	Mus musculus	3	87422673	87973089	18	8.466E-103
Homo sapiens	1	156014989	156078175	Mus musculus	3	87161803	87196055	2	5.468E-8
Homo sapiens	16	45251095	45422575	Mus musculus	8	87784293	87956695	4	1.472E-21
Homo sapiens	16	45475809	45565079	Mus musculus	8	88016484	88079237	2	5.468E-8
Homo sapiens	16	45672943	46291657	Mus musculus	8	88160487	88584540	3	6.728E-15
Homo sapiens	16	48616728	48960346	Mus musculus	8	90642668	90886055	5	5.032E-28
Homo sapiens	16	49139742	49393347	Mus musculus	8	91045269	91275840	4	1.472E-21
Homo sapiens	16	52025862	52094671	Mus musculus	8	93594008	93657922	2	5.468E-8
Homo sapiens	16	52191325	52705868	Mus musculus	8	93740931	94192328	2	5.468E-8
Homo sapiens	16	54070589	54174650	Mus musculus	8	95351227	95443178	2	5.468E-8
Homo sapiens	16	54248057	54424576	Mus musculus	8	95485129	95903624	2	5.468E-8
Homo sapiens	16	54782803	55240927	Mus musculus	8	96334738	96704225	8	1.454E-46
Homo sapiens	16	55321573	55535294	Mus musculus	8	96738480	96919258	3	6.728E-15
Homo sapiens	16	55684007	55876072	Mus musculus	8	97056928	97220130	5	5.032E-28
Homo sapiens	16	55950219	56393940	Mus musculus	8	97269490	97666449	14	4.465E-81
Homo sapiens	16	56475004	56638303	Mus musculus	8	97762950	97898193	5	5.032E-28
Homo sapiens	16	56705000	56886444	Mus musculus	8	97944152	98099097	4	1.472E-21
Homo sapiens	16	56983862	57325747	Mus musculus	8	98157428	98412301	6	2.478E-34
Homo sapiens	16	65061009	65525768	Mus musculus	8	106694413	107165590	14	4.465E-81
Homo sapiens	16	65552639	67039905	Mus musculus	8	107572501	108861888	55	4.089E-279
Homo sapiens	16	67236240	68057668	Mus musculus	8	109034791	109711370	14	4.465E-81
Homo sapiens	16	68156498	68533145	Mus musculus	8	109817370	110081112	4	1.472E-21
Homo sapiens	16	68705030	68778297	Mus musculus	8	113582820	113660974	2	3.281E-7
Homo sapiens	16	68838182	69163921	Mus musculus	8	113334139	113581501	8	1.454E-46
Homo sapiens	16	69237969	69881013	Mus musculus	8	112741889	113329772	5	5.032E-28
Homo sapiens	16	69950127	70053651	Mus musculus	8	112603662	112692106	2	5.468E-8
Homo sapiens	16	70117560	70763525	Mus musculus	8	112017927	112563640	13	1.664E-75
Homo sapiens	16	72941770	73366224	Mus musculus	8	113582820	113917718	6	1.487E-33
Homo sapiens	16	73464975	74248830	Mus musculus	8	113972684	114543090	14	4.465E-81
Homo sapiens	16	75782337	75804400	Mus musculus	8	116159486	116179433	2	5.468E-8
Homo sapiens	16	76313981	76623495	Mus musculus	8	116657499	116949746	3	6.728E-15
Homo sapiens	16	79132355	79395680	Mus musculus	8	119028915	119256891	2	5.468E-8
Homo sapiens	16	79567206	79971441	Mus musculus	8	119413418	119729086	8	1.454E-46
Homo sapiens	16	80370408	80761330	Mus musculus	8	120022180	120325829	4	1.472E-21
Homo sapiens	16	81439761	82400529	Mus musculus	8	120807754	121872167	2	5.468E-8
Homo sapiens	16	82490231	83095794	Mus musculus	8	121918818	122302316	13	1.664E-75
Homo sapiens	16	83156738	83500614	Mus musculus	8	122333122	122575476	4	2.944E-21
Homo sapiens	16	83565573	83703615	Mus musculus	8	122604997	122701369	3	6.728E-15
Homo sapiens	16	84204425	84398109	Mus musculus	8	123012766	123198107	5	5.032E-28
Homo sapiens	16	85101634	85159962	Mus musculus	8	123608374	123642792	3	6.728E-15
Homo sapiens	16	85893924	86082961	Mus musculus	8	124054684	124175833	3	6.728E-15
Homo sapiens	16	86194000	86357056	Mus musculus	8	124254488	124353429	2	5.468E-8
Homo sapiens	16	86421131	86668425	Mus musculus	8	124405052	124549969	3	2.691E-14
Homo sapiens	16	87047226	87330317	Mus musculus	8	124806039	125022112	9	1.611E-52
Homo sapiens	16	87397687	87570902	Mus musculus	8	125091915	125222793	6	2.478E-34
Homo sapiens	16	87687809	87789400	Mus musculus	8	125299405	125391297	2	5.468E-8
Homo sapiens	16	87861536	88638880	Mus musculus	8	125407221	126060549	16	4.821E-92
Homo sapiens	1	227473504	227545358	Mus musculus	8	126346587	126383383	2	5.468E-8
Homo sapiens	1	227633615	227862569	Mus musculus	8	126415669	126572404	5	1.006E-27
Homo sapiens	1	228269579	228628098	Mus musculus	8	126755294	126963558	2	5.468E-8
Homo sapiens	1	228844861	229242633	Mus musculus	8	127044686	127275709	7	1.660E-40
