# An example of input file for detection of syntenies by CHSMiner		
# from public ortholog database HomoloGene (http://www.ncbi.nlm.nih.gov/sites/entrez?db=homologene)
# GeneID	FamilyID	Symbol	Organism	Chromosome	Orient	Start	End
79501	88410	OR4F5	Homo sapiens	1	+	58953	59870
729737	88068	LOC729737	Homo sapiens	1	-	114642	134340
643670	88209	LOC643670	Homo sapiens	1	-	127498	128747
729759	88429	OR4F29	Homo sapiens	1	+	356722	358459
135896	88429	OR4F29	Homo sapiens	1	-	610958	611896
148398	34983	SAMD11	Homo sapiens	1	+	850983	869823
26155	6980	NOC2L	Homo sapiens	1	-	869458	884493
339451	27075	KLHL17	Homo sapiens	1	+	885829	890957
84069	12949	PLEKHN1	Homo sapiens	1	+	891739	900350
57801	49659	HES4	Homo sapiens	1	-	924206	925332
9636	48326	ISG15	Homo sapiens	1	+	938741	939781
375790	27907	AGRN	Homo sapiens	1	+	945365	981354
54991	84818	C1orf159	Homo sapiens	1	-	1007067	1041331
254173	51912	TTLL10	Homo sapiens	1	+	1104939	1111103
8784	48270	TNFRSF18	Homo sapiens	1	-	1128750	1131951
7293	2496	TNFRSF4	Homo sapiens	1	-	1136568	1139374
51150	32121	SDF4	Homo sapiens	1	-	1142150	1157273
126792	14549	B3GALT6	Homo sapiens	1	+	1157507	1160280
388581	12123	FAM132A	Homo sapiens	1	-	1167695	1171964
118424	10975	UBE2J2	Homo sapiens	1	-	1179154	1199096
6339	48152	SCNN1D	Homo sapiens	1	+	1207438	1217271
116983	23708	CENTB5	Homo sapiens	1	-	1218806	1228502
126789	13655	PUSL1	Homo sapiens	1	+	1233856	1236919
54973	9894	CPSF3L	Homo sapiens	1	-	1236841	1249912
80772	11550	MGC10334	Homo sapiens	1	+	1250005	1254138
83756	12890	TAS1R3	Homo sapiens	1	+	1256588	1259706
1855	20926	DVL1	Homo sapiens	1	-	1260520	1274622
54587	11500	MXRA8	Homo sapiens	1	-	1277933	1283777
54998	11916	AURKAIP1	Homo sapiens	1	-	1298972	1300442
81669	69477	CCNL2	Homo sapiens	1	-	1310953	1324552
55052	9941	MRPL20	Homo sapiens	1	-	1327158	1332523
441869	28427	LOC441869	Homo sapiens	1	-	1343662	1346247
643965	85849	LOC643965	Homo sapiens	1	+	1351418	1353029
64856	11270	VWA1	Homo sapiens	1	+	1360771	1366008
83858	10059	ATAD3B	Homo sapiens	1	+	1397026	1421444
55210	10059	ATAD3A	Homo sapiens	1	+	1437417	1459926
339453	19885	C1orf70	Homo sapiens	1	-	1460601	1465588
29101	6754	SSU72	Homo sapiens	1	-	1466915	1500124
643988	85170	LOC643988	Homo sapiens	1	-	1523250	1525332
142678	16062	MIB2	Homo sapiens	1	+	1540746	1555847
8510	3424	MMP23B	Homo sapiens	1	+	1557422	1559892
